Model,Accuracy,Precision,Recall,F1-Score,RMSE
KNN,0.6793478260869565,0.6465372683227827,0.6793478260869565,0.6551571521041898,0.9455272281274796
SVM,0.6168478260869565,0.5824472548132277,0.6168478260869565,0.5770847739973817,1.037346112212187
Logistic Regression,0.625,0.5937934281252727,0.625,0.5980949091386126,0.9759332211652153
Gradient Boosting,0.9375,0.9394483773963161,0.9375,0.9373790114038907,0.3987071498033962
Decision Tree,1.0,1.0,1.0,1.0,0.0
Random Forest,1.0,1.0,1.0,1.0,0.0
Naive Bayes,0.360054347826087,0.5066513377926422,0.360054347826087,0.36992366264596005,2.2020864612018975
XGBoost,1.0,1.0,1.0,1.0,0.0
